Bug_Id,Number of Java files
2,412
8,240
10,429
18,225
19,389
44,166
53,125
117,205
128,50
129,49
130,48
135,236
191,132
206,172
209,179
256,172
1073,149
1202,60
1205,101
1207,36
1214,50
1215,50
1224,172
1299,86
1399,213
1430,104
1441,135
1445,135
1481,31
54,95
76,156
92,275
158,275
160,336
162,616
192,94
199,154
200,139
248,524
1198,6
1228,179
1389,19
1425,110
1446,135
1563,36
1568,51
11,52
55,86
56,86
227,179
1213,50
1222,172
1428,108
84,145
87,145
159,353
193,337
275,116
1028,261
1089,33
1130,367
1402,197
1403,197
71,128
201,145
1641,38
1096,195
1146,48
1147,19
1151,19
1223,179
1645,21
106,213
110,221
168,785
271,121
1406,198
45,192
1640,24
1150,47
